ticker,asset_class,currency,factor,factor_label,direction,magnitude,sensitivity_level,raw_value,value_basis,sign_positive_meaning,sign_negative_meaning,structural_tags,evidence_metrics
032830.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.792866,high,0.792866,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,credit_proxy|korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.792866
032830.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.004678,high,-0.004678,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,credit_proxy|korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.004678
034020.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.074827,low,0.074827,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,beta_sp500_1y_krw=0.074827
034020.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.214301,low,0.214301,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy,downside_beta_sp500_1y_krw=0.214301
034020.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.299186,low,-0.299186,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,corr_sp500_60d_krw=-0.299186
034020.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.717844,high,0.717844,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy,corr_kospi200_60d_krw=0.717844
034020.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.008922,high,-0.008922,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy,avg_stress_ret_krw=-0.008922
035420.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.05893,low,-0.05893,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,beta_sp500_1y_krw=-0.05893
035420.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.083592,low,0.083592,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy,downside_beta_sp500_1y_krw=0.083592
035420.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.298735,low,-0.298735,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,corr_sp500_60d_krw=-0.298735
035420.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.755389,high,0.755389,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy,corr_kospi200_60d_krw=0.755389
035420.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.004623,high,-0.004623,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy,avg_stress_ret_krw=-0.004623
035720.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.008151,low,0.008151,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,beta_sp500_1y_krw=0.008151
035720.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.11844,low,0.11844,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy,downside_beta_sp500_1y_krw=0.11844
035720.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.357178,medium,-0.357178,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,corr_sp500_60d_krw=-0.357178
035720.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.751754,high,0.751754,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy,corr_kospi200_60d_krw=0.751754
035720.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.007714,high,-0.007714,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy,avg_stress_ret_krw=-0.007714
051910.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.035811,low,0.035811,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,beta_sp500_1y_krw=0.035811
051910.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.078886,low,0.078886,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy,downside_beta_sp500_1y_krw=0.078886
051910.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.305782,medium,-0.305782,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,corr_sp500_60d_krw=-0.305782
051910.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.714508,high,0.714508,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy,corr_kospi200_60d_krw=0.714508
051910.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.007487,high,-0.007487,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy,avg_stress_ret_krw=-0.007487
055550.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.009201,low,-0.009201,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,credit_proxy|korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=-0.009201
055550.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.071834,low,0.071834,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,credit_proxy|korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=0.071834
055550.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.304527,medium,-0.304527,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,credit_proxy|korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=-0.304527
055550.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.660168,high,0.660168,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,credit_proxy|korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.660168
055550.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.00511,high,-0.00511,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,credit_proxy|korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.00511
066570.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.060252,low,0.060252,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,beta_sp500_1y_krw=0.060252
066570.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.104082,low,0.104082,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy,downside_beta_sp500_1y_krw=0.104082
066570.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.239123,low,-0.239123,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,corr_sp500_60d_krw=-0.239123
066570.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.52087,medium,0.52087,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy,corr_kospi200_60d_krw=0.52087
066570.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.006955,high,-0.006955,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy,avg_stress_ret_krw=-0.006955
068270.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.040862,low,-0.040862,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,beta_sp500_1y_krw=-0.040862
068270.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,neutral,0.000214,low,-0.000214,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy,downside_beta_sp500_1y_krw=-0.000214
068270.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.374119,medium,-0.374119,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,corr_sp500_60d_krw=-0.374119
068270.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.694424,high,0.694424,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy,corr_kospi200_60d_krw=0.694424
068270.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.002263,medium,-0.002263,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy,avg_stress_ret_krw=-0.002263
105560.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.004008,low,0.004008,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,credit_proxy|korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=0.004008
105560.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.110282,low,0.110282,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,credit_proxy|korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=0.110282
