candidate_source,candidate_name,recommendation_status,backtest_gate_status,formal_gate_blockers,formal_gate_blocker_count,target_evaluated_count,target_improved_count,target_worsened_count,target_insufficient_history_count,target_lags_cash_count,target_bootstrap_robust_count,target_bootstrap_count,target_bootstrap_min_p_improve,target_bootstrap_avg_p_improve,target_avg_cash_net_stress_delta,target_min_cash_net_stress_delta,target_avg_cash_net_mdd_delta,target_min_cash_net_mdd_delta,target_avg_cash_net_cvar_delta,target_min_cash_net_cvar_delta,target_max_turnover,combo_min_adv_60,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_readiness_score,backtest_reason,reference_reason,gate_fail_reasons
one_to_one,XLV,REFERENCE_ONLY,VALIDATION_INSUFFICIENT,validation_insufficient|return_drag_reference|reference_only,3,0,0,0,0,0,0,0,,,,,,,,,,2648432768783.628,,,OK_ADV_FLOOR_NO_ORDER_SIZE,40.0,target-scenario historical validation has insufficient history; 검증 부족,annual return drag soft warning,
multi,IAU + DBC,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal|return_drag_reference|reference_only,6,1,1,0,0,1,0,1,0.495,0.495,-0.006258,-0.006258,-0.024892,-0.024892,-0.001077,-0.001077,0.2,73595336412.57709,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,39.9,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning,
multi,GLD + DBC,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal|return_drag_reference|reference_only,6,1,1,0,0,1,0,1,0.47,0.47,-0.00653,-0.00653,-0.024857,-0.024857,-0.001075,-0.001075,0.2,73595336412.57709,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,39.4,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning,
multi,GLD + DBC,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal|return_drag_reference|reference_only,6,1,1,0,0,1,0,1,0.46,0.46,-0.003265,-0.003265,-0.012004,-0.012004,-0.000508,-0.000508,0.100001,73595336412.57709,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,39.2,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning,
one_to_one,XLE,FAIL_GATE,FAIL_BACKTEST,fail_gate|target_worsened|validation_thin|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal,6,1,0,1,0,1,0,1,0.93,0.93,0.12727,0.12727,-0.068123,-0.068123,-0.009605,-0.009605,0.3,,,,MISSING_ADV,38.6,target-scenario backtest worsened risk metrics; 정식 추천 불가,,FAIL: 단일 자산 최대 20.0% 초과 - XLE=30.0000%; target-scenario backtest worsened risk metrics; 정식 추천 불가
multi,IEF + DBC,FAIL_GATE,REFERENCE_ONLY_CASH_BASELINE,fail_gate|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal,4,2,2,0,0,2,0,2,0.4,0.4925,-0.015759,-0.01723,-0.020316,-0.021225,-0.000736,-0.000756,0.2,73595336412.57709,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,38.0,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,연환산 수익률 훼손 하드 게이트
multi,TLT + DBC,FAIL_GATE,REFERENCE_ONLY_CASH_BASELINE,fail_gate|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal,4,2,2,0,0,2,0,2,0.34,0.395,-0.027151,-0.031869,-0.045054,-0.046949,-0.002048,-0.002113,0.3,73595336412.57709,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,36.8,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,연환산 수익률 훼손 하드 게이트
one_to_one,DBC,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal,5,1,1,0,0,1,0,1,0.785,0.785,0.048446,0.048446,-0.065285,-0.065285,-0.004003,-0.004003,0.3,,,,MISSING_ADV,35.7,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,FAIL: 단일 자산 최대 20.0% 초과 - DBC=30.0000%
one_to_one,USO,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal,5,1,1,0,0,1,0,1,0.75,0.75,0.073509,0.073509,-0.098234,-0.098234,-0.007815,-0.007815,0.3,,,,MISSING_ADV,35.0,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,FAIL: 단일 자산 최대 20.0% 초과 - USO=30.0000%
one_to_one,DBC,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal|return_drag_reference,6,1,1,0,0,1,0,1,0.725,0.725,0.032303,0.032303,-0.04138,-0.04138,-0.001354,-0.001354,0.2,73595336412.57709,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,34.5,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning,Stress 개선 미달
multi,TLT + DBC,FAIL_GATE,REFERENCE_ONLY_CASH_BASELINE,fail_gate|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal,4,2,2,0,0,2,0,2,0.165,0.26,-0.037418,-0.039099,-0.025355,-0.026362,-0.001284,-0.001312,0.2,73595336412.57709,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,33.3,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,연환산 수익률 훼손 하드 게이트
one_to_one,SHY,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal,5,1,1,0,0,1,0,1,0.625,0.625,-0.014566,-0.014566,-0.007435,-0.007435,-0.000469,-0.000469,0.3,,,,MISSING_ADV,32.5,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,FAIL: 단일 자산 최대 20.0% 초과 - SHY=30.0000%
multi,GLD + DBC,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal,5,1,1,0,0,1,0,1,0.56,0.56,0.004765,0.004765,-0.04472,-0.04472,-0.001991,-0.001991,0.3,73595336412.57709,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,31.2,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,연환산 수익률 훼손 하드 게이트
multi,IAU + DBC,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal,5,1,1,0,0,1,0,1,0.56,0.56,0.005071,0.005071,-0.04471,-0.04471,-0.00201,-0.00201,0.3,73595336412.57709,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,31.2,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,연환산 수익률 훼손 하드 게이트
