date,scenario_code,scenario_name,driver_rank,signal_name,signal_label,metric_type,driver_effect,contribution,raw_value,normalized_value,aligned_value,unit_score
2021-09-28,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.037858,-4.029645,-4.029645,0.0
2021-09-28,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.052572,-3.882884,-3.882884,0.0
2021-09-28,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.15,-0.037216,-2.802266,-2.802266,0.0
2021-09-29,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.034809,-3.4448,-3.4448,0.0
2021-09-29,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.053354,-3.563834,-3.563834,0.0
2021-09-29,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.15,-0.028936,-2.278679,-2.278679,0.0
2021-09-30,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.047112,-3.942667,-3.942667,0.0
2021-09-30,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.058393,-3.477884,-3.477884,0.0
2021-09-30,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.15,-0.030694,-2.271371,-2.271371,0.0
2021-10-01,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.038745,-3.115609,-3.115609,0.0
2021-10-01,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.052105,-2.998595,-2.998595,0.0
2021-10-01,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.15,-0.026785,-2.019412,-2.019412,0.0
2021-10-03,soft_landing_goldilocks,Soft Landing / Goldilocks,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,offsetting,-0.079321,0.021866,1.057614,-1.057614,0.235597
2021-10-04,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.050911,-3.57622,-3.57622,0.0
2021-10-04,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.074846,-3.59757,-3.59757,0.0
2021-10-04,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.126463,-0.020354,-1.686176,-1.686176,0.078456
