date,scenario_code,scenario_name,signal_name,signal_label,metric_type,ticker,reference_ticker,lookback_days,weight,direction,raw_value,normalized_value,aligned_value,unit_score,contribution
2022-01-18,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,PPA,SPY,20,0.15,positive,0.068265,2.628902,2.628902,1.0,0.15
2022-01-18,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,vix_level_z,VIX level,level_z,^VIX,,252,0.15,positive,22.790001,1.394583,1.394583,0.848646,0.104594
2022-01-18,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,-5e-05,-0.699669,-0.699669,0.325083,-0.034983
2022-01-18,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,spy_ret_5d,SPY 5d return,ret_z,SPY,,5,0.1,negative,-0.019377,-1.538471,1.538471,0.884618,0.076924
2022-01-19,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,uso_ret_5d,USO 5d return,ret_z,USO,,5,0.2,positive,0.04969,0.968095,0.968095,0.742024,0.09681
2022-01-19,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,dbc_ret_20d,DBC 20d return,ret_z,DBC,,20,0.1,positive,0.109603,2.002496,2.002496,1.0,0.1
2022-01-19,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,gld_ret_5d,GLD 5d return,ret_z,GLD,,5,0.15,positive,0.010512,0.584035,0.584035,0.646009,0.043803
2022-01-19,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,PPA,SPY,20,0.15,positive,0.077985,2.843435,2.843435,1.0,0.15
2022-01-19,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,vix_level_z,VIX level,level_z,^VIX,,252,0.15,positive,23.85,1.740618,1.740618,0.935155,0.130546
2022-01-19,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,0.001435,-0.562994,-0.562994,0.359251,-0.02815
2022-01-19,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,spy_ret_5d,SPY 5d return,ret_z,SPY,,5,0.1,negative,-0.038318,-2.76262,2.76262,1.0,0.1
2022-01-20,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,uso_ret_5d,USO 5d return,ret_z,USO,,5,0.2,positive,0.029706,0.484601,0.484601,0.62115,0.04846
2022-01-20,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,dbc_ret_20d,DBC 20d return,ret_z,DBC,,20,0.1,positive,0.082718,1.394468,1.394468,0.848617,0.069723
2022-01-20,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,gld_ret_5d,GLD 5d return,ret_z,GLD,,5,0.15,positive,0.00533,0.296433,0.296433,0.574108,0.022233
2022-01-20,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,PPA,SPY,20,0.15,positive,0.065318,2.407462,2.407462,1.0,0.15
2022-01-20,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,vix_level_z,VIX level,level_z,^VIX,,252,0.15,positive,25.59,2.304719,2.304719,1.0,0.15
2022-01-20,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,0.000328,-0.660357,-0.660357,0.334911,-0.033018
2022-01-20,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,spy_ret_5d,SPY 5d return,ret_z,SPY,,5,0.1,negative,-0.051527,-3.543079,3.543079,1.0,0.1
2022-01-21,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,uso_ret_5d,USO 5d return,ret_z,USO,,5,0.2,positive,0.043075,0.803403,0.803403,0.700851,0.08034
2022-01-21,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,dbc_ret_20d,DBC 20d return,ret_z,DBC,,20,0.1,positive,0.071046,1.132007,1.132007,0.783002,0.0566
2022-01-21,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,gld_ret_5d,GLD 5d return,ret_z,GLD,,5,0.15,positive,0.005465,0.302998,0.302998,0.57575,0.022725
2022-01-21,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,PPA,SPY,20,0.15,positive,0.075133,2.628719,2.628719,1.0,0.15
2022-01-21,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,vix_level_z,VIX level,level_z,^VIX,,252,0.15,positive,28.85,3.345237,3.345237,1.0,0.15
2022-01-21,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,0.005846,-0.159981,-0.159981,0.460005,-0.007999
2022-01-21,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,spy_ret_5d,SPY 5d return,ret_z,SPY,,5,0.1,negative,-0.057155,-3.760426,3.760426,1.0,0.1
2022-01-24,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,uso_ret_5d,USO 5d return,ret_z,USO,,5,0.2,positive,0.002335,-0.178172,-0.178172,0.455457,-0.017817
2022-01-24,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,dbc_ret_20d,DBC 20d return,ret_z,DBC,,20,0.1,positive,0.062923,0.9504,0.9504,0.7376,0.04752
2022-01-24,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,gld_ret_5d,GLD 5d return,ret_z,GLD,,5,0.15,positive,0.013909,0.769472,0.769472,0.692368,0.05771
2022-01-24,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,PPA,SPY,20,0.15,positive,0.071939,2.478107,2.478107,1.0,0.15
2022-01-24,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,vix_level_z,VIX level,level_z,^VIX,,252,0.15,positive,29.9,3.574343,3.574343,1.0,0.15
2022-01-24,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,0.004705,-0.262627,-0.262627,0.434343,-0.013131
2022-01-24,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,spy_ret_5d,SPY 5d return,ret_z,SPY,,5,0.1,negative,-0.053537,-3.388423,3.388423,1.0,0.1
2022-01-25,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,uso_ret_5d,USO 5d return,ret_z,USO,,5,0.2,positive,0.0,-0.233834,-0.233834,0.441541,-0.023383
2022-01-25,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,dbc_ret_20d,DBC 20d return,ret_z,DBC,,20,0.1,positive,0.059273,0.866769,0.866769,0.716692,0.043338
2022-01-25,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,gld_ret_5d,GLD 5d return,ret_z,GLD,,5,0.15,positive,0.018832,1.038817,1.038817,0.759704,0.077911
2022-01-25,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,PPA,SPY,20,0.15,positive,0.080344,2.649126,2.649126,1.0,0.15
2022-01-25,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,vix_level_z,VIX level,level_z,^VIX,,252,0.15,positive,31.16,3.837302,3.837302,1.0,0.15
2022-01-25,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,0.008443,0.077189,0.077189,0.519297,0.003859
2022-01-25,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,spy_ret_5d,SPY 5d return,ret_z,SPY,,5,0.1,negative,-0.048238,-2.963996,2.963996,1.0,0.1
2022-01-26,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,uso_ret_5d,USO 5d return,ret_z,USO,,5,0.2,positive,0.010319,0.015898,0.015898,0.503974,0.00159
2022-01-26,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,dbc_ret_20d,DBC 20d return,ret_z,DBC,,20,0.1,positive,0.063697,0.956678,0.956678,0.739169,0.047834
2022-01-26,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,gld_ret_5d,GLD 5d return,ret_z,GLD,,5,0.15,positive,-0.013308,-0.748174,-0.748174,0.312956,-0.056113
2022-01-26,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,PPA,SPY,20,0.15,positive,0.068639,2.277054,2.277054,1.0,0.15
2022-01-26,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,vix_level_z,VIX level,level_z,^VIX,,252,0.15,positive,31.959999,3.920167,3.920167,1.0,0.15
2022-01-26,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,0.006945,-0.059253,-0.059253,0.485187,-0.002963
2022-01-26,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,spy_ret_5d,SPY 5d return,ret_z,SPY,,5,0.1,negative,-0.040664,-2.452611,2.452611,1.0,0.1
2022-01-27,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,uso_ret_5d,USO 5d return,ret_z,USO,,5,0.2,positive,0.019782,0.24487,0.24487,0.561217,0.024487
2022-01-27,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,dbc_ret_20d,DBC 20d return,ret_z,DBC,,20,0.1,positive,0.06387,0.954738,0.954738,0.738684,0.047737
2022-01-27,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,gld_ret_5d,GLD 5d return,ret_z,GLD,,5,0.15,positive,-0.023594,-1.315585,-1.315585,0.171104,-0.098669
2022-01-27,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,PPA,SPY,20,0.15,positive,0.054274,1.861426,1.861426,0.965356,0.139607
2022-01-27,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,vix_level_z,VIX level,level_z,^VIX,,252,0.15,positive,30.49,3.327088,3.327088,1.0,0.15
2022-01-27,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,0.014328,0.614572,0.614572,0.653643,0.030729
2022-01-27,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,spy_ret_5d,SPY 5d return,ret_z,SPY,,5,0.1,negative,-0.034717,-2.070845,2.070845,1.0,0.1
2022-01-28,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,uso_ret_5d,USO 5d return,ret_z,USO,,5,0.2,positive,0.019579,0.239204,0.239204,0.559801,0.02392
2022-01-28,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,dbc_ret_20d,DBC 20d return,ret_z,DBC,,20,0.1,positive,0.069923,1.078679,1.078679,0.76967,0.053934
2022-01-28,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,gld_ret_5d,GLD 5d return,ret_z,GLD,,5,0.15,positive,-0.023321,-1.290397,-1.290397,0.177401,-0.09678
2022-01-28,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,PPA,SPY,20,0.15,positive,0.035774,1.35951,1.35951,0.839878,0.101963
2022-01-28,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,vix_level_z,VIX level,level_z,^VIX,,252,0.15,positive,27.66,2.422565,2.422565,1.0,0.15
2022-01-28,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,0.011404,0.344771,0.344771,0.586193,0.017239
2022-01-28,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,spy_ret_5d,SPY 5d return,ret_z,SPY,,5,0.1,negative,0.009064,0.396942,-0.396942,0.400765,-0.019847
2022-01-31,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,uso_ret_5d,USO 5d return,ret_z,USO,,5,0.2,positive,0.039428,0.721432,0.721432,0.680358,0.072143
2022-01-31,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,dbc_ret_20d,DBC 20d return,ret_z,DBC,,20,0.1,positive,0.078922,1.264044,1.264044,0.816011,0.063202
2022-01-31,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,gld_ret_5d,GLD 5d return,ret_z,GLD,,5,0.15,positive,-0.022903,-1.25773,-1.25773,0.185568,-0.09433
2022-01-31,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,ppa_vs_spy_20d,PPA minus SPY 20d return,relative_ret_z,PPA,SPY,20,0.15,positive,0.026305,1.104382,1.104382,0.776095,0.082829
2022-01-31,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,vix_level_z,VIX level,level_z,^VIX,,252,0.15,positive,24.83,1.589584,1.589584,0.897396,0.119219
2022-01-31,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.1,positive,0.016779,0.836261,0.836261,0.709065,0.041813
2022-01-31,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,spy_ret_5d,SPY 5d return,ret_z,SPY,,5,0.1,negative,0.022895,1.167452,-1.167452,0.208137,-0.058373
