date,scenario_code,structured_confidence,structured_coverage,event_overlay_confidence,event_count,overlay_applied,final_confidence,merge_engine_version
2021-09-02,slowdown_recession_deflation_risk,12.23414,0.25,,0,N,12.23414,phase6_final_market_state_v1
2021-09-02,soft_landing_goldilocks,50.401284,0.869565,,0,N,50.401284,phase6_final_market_state_v1
2021-09-02,stagflation_reinflation_energy_shock,53.692679,1.0,,0,N,53.692679,phase6_final_market_state_v1
2021-09-02,usd_strength_krw_weakness,63.207139,0.956522,,0,N,63.207139,phase6_final_market_state_v1
2021-09-03,acute_global_stress_liquidity_crunch,49.877862,0.916667,,0,N,49.877862,phase6_final_market_state_v1
2021-09-03,china_trade_fragmentation_shock,55.48632,0.791667,,0,N,55.48632,phase6_final_market_state_v1
2021-09-03,geopolitical_escalation_supply_shock,40.797644,0.85,,0,N,40.797644,phase6_final_market_state_v1
2021-09-03,higher_for_longer_long_rate_shock,60.035805,0.88,,0,N,60.035805,phase6_final_market_state_v1
2021-09-03,korea_domestic_financial_stress,35.43424,0.55,,0,N,35.43424,phase6_final_market_state_v1
2021-09-03,semiconductor_ai_cycle_shock,60.219915,0.9,,0,N,60.219915,phase6_final_market_state_v1
2021-09-03,slowdown_recession_deflation_risk,16.798131,0.25,,0,N,16.798131,phase6_final_market_state_v1
2021-09-03,soft_landing_goldilocks,41.919693,0.73913,,0,N,41.919693,phase6_final_market_state_v1
2021-09-03,stagflation_reinflation_energy_shock,52.472953,1.0,,0,N,52.472953,phase6_final_market_state_v1
2021-09-03,usd_strength_krw_weakness,34.790414,0.478261,,0,N,34.790414,phase6_final_market_state_v1
2021-09-05,china_trade_fragmentation_shock,6.014125,0.125,,0,N,6.014125,phase6_final_market_state_v1
2021-09-05,geopolitical_escalation_supply_shock,4.8113,0.1,,0,N,4.8113,phase6_final_market_state_v1
2021-09-05,higher_for_longer_long_rate_shock,5.77356,0.12,,0,N,5.77356,phase6_final_market_state_v1
2021-09-05,korea_domestic_financial_stress,4.8113,0.1,,0,N,4.8113,phase6_final_market_state_v1
2021-09-05,semiconductor_ai_cycle_shock,4.8113,0.1,,0,N,4.8113,phase6_final_market_state_v1
2021-09-05,soft_landing_goldilocks,6.275608,0.130435,,0,N,6.275608,phase6_final_market_state_v1
2021-09-05,usd_strength_krw_weakness,27.931102,0.478261,,0,N,27.931102,phase6_final_market_state_v1
2021-09-06,china_trade_fragmentation_shock,11.501951,0.208333,,0,N,11.501951,phase6_final_market_state_v1
2021-09-06,geopolitical_escalation_supply_shock,4.852271,0.1,,0,N,4.852271,phase6_final_market_state_v1
2021-09-06,higher_for_longer_long_rate_shock,5.822726,0.12,,0,N,5.822726,phase6_final_market_state_v1
2021-09-06,korea_domestic_financial_stress,32.414647,0.55,,0,N,32.414647,phase6_final_market_state_v1
2021-09-06,semiconductor_ai_cycle_shock,22.342256,0.35,,0,N,22.342256,phase6_final_market_state_v1
2021-09-06,soft_landing_goldilocks,6.32905,0.130435,,0,N,6.32905,phase6_final_market_state_v1
2021-09-06,usd_strength_krw_weakness,33.956951,0.565217,,0,N,33.956951,phase6_final_market_state_v1
2021-09-07,acute_global_stress_liquidity_crunch,54.559228,0.916667,,0,N,54.559228,phase6_final_market_state_v1
2021-09-07,china_trade_fragmentation_shock,63.242698,0.916667,,0,N,63.242698,phase6_final_market_state_v1
2021-09-07,geopolitical_escalation_supply_shock,48.968488,0.95,,0,N,48.968488,phase6_final_market_state_v1
2021-09-07,higher_for_longer_long_rate_shock,67.550059,1.0,,0,N,67.550059,phase6_final_market_state_v1
2021-09-07,korea_domestic_financial_stress,37.637772,0.65,,0,N,37.637772,phase6_final_market_state_v1
2021-09-07,semiconductor_ai_cycle_shock,62.707507,1.0,,0,N,62.707507,phase6_final_market_state_v1
2021-09-07,slowdown_recession_deflation_risk,16.869963,0.25,,0,N,16.869963,phase6_final_market_state_v1
2021-09-07,soft_landing_goldilocks,50.127823,0.869565,,0,N,50.127823,phase6_final_market_state_v1
2021-09-07,stagflation_reinflation_energy_shock,57.029349,1.0,,0,N,57.029349,phase6_final_market_state_v1
2021-09-07,usd_strength_krw_weakness,65.8911,0.956522,,0,N,65.8911,phase6_final_market_state_v1
2021-09-08,acute_global_stress_liquidity_crunch,49.437158,0.916667,,0,N,49.437158,phase6_final_market_state_v1
2021-09-08,china_trade_fragmentation_shock,57.657443,0.916667,,0,N,57.657443,phase6_final_market_state_v1
2021-09-08,geopolitical_escalation_supply_shock,46.826549,0.95,,0,N,46.826549,phase6_final_market_state_v1
2021-09-08,higher_for_longer_long_rate_shock,59.783172,1.0,,0,N,59.783172,phase6_final_market_state_v1
2021-09-08,korea_domestic_financial_stress,40.719516,0.65,,0,N,40.719516,phase6_final_market_state_v1
2021-09-08,semiconductor_ai_cycle_shock,56.132983,1.0,,0,N,56.132983,phase6_final_market_state_v1
2021-09-08,slowdown_recession_deflation_risk,15.641202,0.25,,0,N,15.641202,phase6_final_market_state_v1
2021-09-08,soft_landing_goldilocks,47.826682,0.869565,,0,N,47.826682,phase6_final_market_state_v1
2021-09-08,stagflation_reinflation_energy_shock,49.194441,1.0,,0,N,49.194441,phase6_final_market_state_v1
2021-09-08,usd_strength_krw_weakness,63.707762,0.956522,,0,N,63.707762,phase6_final_market_state_v1
2021-09-09,acute_global_stress_liquidity_crunch,52.268141,0.916667,,0,N,52.268141,phase6_final_market_state_v1
